experiment_idx,name,description,overrides,status,val_bpb,num_params_M,num_steps,total_tokens_M,training_seconds,wall_time,timestamp,peak_vram_mb,mfu_percent,error,probe1_auc,probe1_dmean
7,r2_matrix_lr_015,Even lower Muon LR: 0.015,"{""MATRIX_LR"": 0.015}",OK,1.947405,7.3,151.0,9.9,301.3,524.6781649589539,2026-03-24T12:56:38.469219,,,,,
8,r2_matrix_lr_01,Very low Muon LR: 0.01,"{""MATRIX_LR"": 0.01}",OK,1.964708,7.3,152.0,10.0,300.8,535.9084558486938,2026-03-24T13:05:34.441759,,,,,
9,r2_depth8_sssl_smallbatch,Depth 8 + SSSL window + small batch,"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8, ""WINDOW_PATTERN"": ""\""SSSL\"""", ""MATRIX_LR"": 0.02}",TIMEOUT,,,,,,900,,,,,,
10,r2_warmdown_70pct,Longer warmdown: 50% -> 70%,"{""MATRIX_LR"": 0.02, ""WARMDOWN_RATIO"": 0.7}",OK,1.943322,7.3,141.0,9.2,300.8,544.9260311126709,2026-03-24T13:29:39.574712,,,,,
11,r2_embedding_lr_03,Lower embedding LR: 0.6 -> 0.3,"{""MATRIX_LR"": 0.02, ""EMBEDDING_LR"": 0.3}",OK,1.9717,7.3,138.0,9.0,300.5,547.8638608455658,2026-03-24T13:38:47.504255,,,,,
0,r3_depth6_lowlr,Depth 6 + lower LR (re-run with longer timeout),"{""DEPTH"": 6, ""MATRIX_LR"": 0.02}",OK,2.060666,18.5,15.0,1.0,329.1,1862.6940732002258,2026-03-24T14:32:36.163836,,,,,
1,r3_depth6_best_combo,Depth 6 + full winning combo from round 2,"{""DEPTH"": 6, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",OK,2.181933,18.5,16.0,1.0,396.9,1372.5715489387512,2026-03-24T14:55:28.795939,,,,,
2,r3_depth8_smallbatch,Depth 8 + batch_size=8 (re-run with longer timeout),"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8}",OK,1.97959,37.7,43.0,2.8,304.6,1089.6503360271454,2026-03-24T15:13:38.514623,,,,,
3,r3_depth8_best_combo,Depth 8 + full winning combo + small batch,"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",OK,2.02033,37.7,40.0,2.6,302.6,1093.3582153320312,2026-03-24T15:31:51.932227,,,,,
4,r3_wd005,Weight decay 0.05 (lower than winner's 0.1),"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.05}",OK,1.963148,7.3,144.0,9.4,301.1,579.3988196849823,2026-03-24T15:41:31.381451,,,,,
5,r3_wd015,Weight decay 0.15 (between winner's 0.1 and default 0.2),"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.15}",OK,1.96703,7.3,138.0,9.0,301.0,531.2302529811859,2026-03-24T15:50:22.650332,,,,,
6,r3_warmup_3pct,Warmup 3% instead of 5%,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.03, ""WEIGHT_DECAY"": 0.1}",OK,1.958347,7.3,149.0,9.8,302.2,535.9288589954376,2026-03-24T15:59:18.619348,,,,,
7,r3_warmup_10pct,Warmup 10% instead of 5%,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.1, ""WEIGHT_DECAY"": 0.1}",OK,1.972452,7.3,132.0,8.7,301.5,577.7955868244171,2026-03-24T16:08:56.477972,,,,,
8,r3_lr_025,Muon LR 0.025 (between 0.02 winner and 0.04 default),"{""MATRIX_LR"": 0.025, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",OK,1.950751,7.3,145.0,9.5,300.0,534.7729196548462,2026-03-24T16:17:51.289636,,,,,
9,r3_warmdown_70_combo,Winner combo + longer warmdown 70%,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""WARMDOWN_RATIO"": 0.7}",OK,1.983007,7.3,127.0,8.3,301.2,561.2669408321381,2026-03-24T16:27:12.603043,,,,,
10,r3_final_lr_01,Winner combo + final LR 10% instead of 0%,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""FINAL_LR_FRAC"": 0.1}",OK,1.972421,7.3,133.0,8.7,301.7,551.8736062049866,2026-03-24T16:36:24.812633,,,,,
11,r3_depth5_best,Depth 5 + winning combo (between 4 and 6),"{""DEPTH"": 5, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",OK,2.036288,16.7,42.0,2.8,304.3,786.6805486679077,2026-03-24T16:49:31.567081,,,,,
36,r4_emb_lr_08_scalar_lr,Try higher embedding LR and lower scalar LR to improve the best configuration,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""EMBEDDING_LR"": 0.8, ""SCALAR_LR"": 0.3}",OK,1.955518,7.3,142.0,9.3,301.4,7556.0,0.15,574.4892950057983,2026-05-06T17:55:22.631822,,0.524707484,0.008743904967308036
37,r5_unembedding_lr_sweep,Try higher unembedding LR to see if it helps convergence with the best known config,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""UNEMBEDDING_LR"": 0.008}",OK,1.953538,7.3,135.0,8.8,300.1,7554.0,0.14,586.2446839809418,2026-05-06T18:05:35.821265,,0.5227213574,0.0027112170386314194
38,r6_larger_total_batch,Try larger total batch size of 131072 with best known hyperparameters to see if more gradient signal per step helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 131072}",OK,1.997269,7.3,71.0,9.3,300.1,7556.0,0.14,593.3991329669952,2026-05-06T18:15:55.605586,,0.5206738448,0.0013061747860908524
39,r7_head_dim_64,"Try smaller HEAD_DIM=64 to increase number of attention heads for the same model_dim, potentially improving sequence modeling","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""HEAD_DIM"": 64}",OK,2.222539,7.3,18.0,1.2,355.5,15468.0,0.01,668.0414097309113,2026-05-06T18:27:27.003580,,0.5020019448,2.9528784752930193e-06
40,r8_scalar_lr_warmup,Try higher SCALAR_LR with best known config to improve scalar parameter optimization,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""SCALAR_LR"": 0.7, ""EMBEDDING_LR"": 0.8}",OK,1.966853,7.3,140.0,9.2,301.6,7556.0,0.14,556.1006739139557,2026-05-06T18:37:10.060792,,0.5223195416,0.005292240818142835
41,r9_emb_lr_higher_scalar_lower,Try higher embedding LR and lower scalar LR to see if better embedding optimization helps val_bpb,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""EMBEDDING_LR"": 0.9, ""SCALAR_LR"": 0.2}",OK,1.948928,7.3,137.0,9.0,300.3,7556.0,0.14,563.1710619926453,2026-05-06T18:46:55.650104,,0.5241865282,0.007541880225837128
42,r10_total_batch_32k_best_combo,Try smaller total batch size (32768) with best known hyperparameters to get more gradient steps in 5-minute window,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768}",OK,1.933434,7.3,245.0,8.0,300.3,7548.0,0.13,562.2649810314178,2026-05-06T18:56:39.492337,,0.522711698,0.003326342545747818
43,r11_total_batch_32k_warmdown60,Test 32k batch size with 60% warmdown to see if longer cooldown helps over the best config,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.6}",OK,1.933064,7.3,248.0,8.1,301.1,7548.0,0.13,564.4419341087341,2026-05-06T19:06:26.751020,,0.5216293434,0.0030700620937347267
44,r12_warmdown70_batch32k,Combine 32k batch size with 70% warmdown ratio and best LR settings,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.931656,7.3,254.0,8.3,300.9,7548.0,0.14,565.894581079483,2026-05-06T19:16:13.907781,,0.5204384198,0.004384268590211904
45,r13_warmdown75_batch32k,Push warmdown ratio to 0.75 with best known config to see if more cooldown time helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.75}",OK,1.936759,7.3,238.0,7.8,300.3,7548.0,0.13,552.0361862182617,2026-05-06T19:25:48.348978,,0.5218597808,0.006019965150356188
46,r14_warmdown70_final_lr_frac,Add small final_lr_frac to best config to see if non-zero final LR helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""FINAL_LR_FRAC"": 0.05}",OK,1.933381,7.3,246.0,8.1,301.2,7548.0,0.13,558.5919749736786,2026-05-06T19:35:29.611325,,0.521775178,0.0057971313285827275
47,r15_warmdown70_matrix_lr_025,Try slightly higher matrix_lr=0.025 with the best warmdown=0.7 config to see if it improves convergence,"{""MATRIX_LR"": 0.025, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.932381,7.3,240.0,7.9,300.1,7548.0,0.13,553.90776014328,2026-05-06T19:45:06.384119,,0.522269767,0.004767850390672734
48,r16_matrix_lr_022_warmdown70,Slightly higher matrix LR with best combo to see if we can squeeze more performance,"{""MATRIX_LR"": 0.022, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.933157,7.3,260.0,8.5,300.8,7548.0,0.14,558.3873469829559,2026-05-06T19:54:45.537153,,0.52179485,0.005184173521399549
49,r17_warmdown70_batch32k_wd005,"Try lower weight decay 0.05 with the best combo (batch32k, warmdown70, warmup5%) to see if less regularization helps","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.05, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.93695,7.3,233.0,7.6,300.8,7548.0,0.12,566.3588759899139,2026-05-06T20:04:34.214734,,0.5212748398,0.006091582045555155
50,r18_matrix_lr_020_warmdown70_wd008,Try weight decay 0.08 with proven best combo to see if slightly higher WD than 0.05 but lower than 0.1 improves,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.08, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.935,7.3,240.0,7.9,300.1,7548.0,0.13,551.0459010601044,2026-05-06T20:14:08.690917,,0.5224897106,0.004436255551576673
51,r19_warmdown70_batch32k_warmup3pct,Try 3% warmup with 70% warmdown and best known settings to see if shorter warmup helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.03, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.932408,7.3,252.0,8.3,300.2,7548.0,0.13,552.3950190544128,2026-05-06T20:23:43.089421,,0.5216773434,0.005589039516448957
52,r20_ssl_window_32k,Try SSL sliding window pattern with best optimizer settings to see if local attention helps DNA modeling,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""WINDOW_PATTERN"": ""SSL""}",OK,1.932558,7.3,252.0,8.3,300.8,7802.0,0.12,588.2044260501862,2026-05-06T20:33:54.087376,,0.5223878546,0.004849866983890561
53,r21_matrix_lr_020_warmdown70_wd012_emb_lr_07,Try slightly higher weight decay and tuned embedding LR to see if we can push past the 1.9316 plateau,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.12, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.7}",OK,1.93238,7.3,248.0,8.1,300.6,7548.0,0.13,560.9435968399048,2026-05-06T20:43:39.628584,,0.5220811318,0.005271124204397237
54,r22_matrix_lr_018_warmdown70_wd010,Try slightly lower matrix LR (0.018) with best known config to explore if finer LR tuning helps,"{""MATRIX_LR"": 0.018, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7}",OK,1.933107,7.3,248.0,8.1,300.9,7548.0,0.13,552.663919210434,2026-05-06T20:53:14.697401,,0.5225608654,0.0040185033845902
55,r23_scalar_lr_lower_warmdown70,Try lower SCALAR_LR with the best config to see if scalar parameter learning rate affects val_bpb,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""SCALAR_LR"": 0.3}",OK,1.933852,7.3,242.0,7.9,300.0,7548.0,0.13,554.7403440475464,2026-05-06T21:02:53.106771,,0.5213613214,0.00565322149574754
56,r24_emb_lr_065_unembedding_003_warmdown70,Try slightly adjusted embedding and unembedding LRs with the best known config,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.930546,7.3,261.0,8.6,301.3,7546.0,0.14,558.9387111663818,2026-05-06T21:12:43.975804,,0.5191124748,0.00533527054607863
57,r25_unembedding_lr_002_warmdown70,Try lower unembedding LR of 0.002 to see if it improves on best result which used 0.003,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.002}",OK,1.940544,7.3,246.0,8.1,300.4,7548.0,0.13,559.5336990356445,2026-05-06T21:22:26.654931,,0.5240570586,0.012321758649982528
58,r26_emb_lr_060_unembedding_003_warmdown70_wd010,"Try slightly lower embedding LR (0.6) with unembedding LR 0.003, exploring if the best config can be improved further","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.6, ""UNEMBEDDING_LR"": 0.003}",OK,1.931266,7.3,250.0,8.2,300.3,7548.0,0.13,568.9852519035339,2026-05-06T21:32:20.655625,,0.5220325424,0.005811545892953962
59,r27_emb_lr_065_unembedding_003_warmdown70_warmup3pct,Combine best embedding/unembedding LR settings with 3% warmup instead of 5% to get more training in warmdown,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.03, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.935528,7.3,246.0,8.1,300.4,7548.0,0.13,565.5312650203705,2026-05-06T21:42:10.417135,,0.5228670416,0.008317369426488863
60,r28_emb_lr_065_unembedding_003_warmdown70_head96,Try HEAD_DIM=96 with the best LR settings to see if a different attention head dimension improves val_bpb,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""HEAD_DIM"": 96}",OK,1.940104,8.7,193.0,6.3,300.1,10738.3,0.12,610.2808120250702,2026-05-06T21:52:49.727589,,0.5235963696,0.009048460750579856
61,r29_emb_lr_065_unemb_003_warmdown70_scalar05,Try increasing SCALAR_LR back to default 0.5 with best known config to see if scalar LR matters,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.5}",OK,1.931494,7.3,248.0,8.1,300.3,7548.0,0.13,568.8321101665497,2026-05-06T22:02:43.390286,,0.5223713134,0.004518686765432323
62,r30_emb_lr_065_unemb_003_warmdown70_finallr_002,Test small non-zero final LR fraction with best known config to see if smoother cooldown helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""FINAL_LR_FRAC"": 0.02}",OK,1.933388,7.3,244.0,8.0,300.8,7548.0,0.13,556.7664768695831,2026-05-06T22:12:25.074344,,0.5213819362,0.005593427859544753
63,r31_emb_lr_065_unemb_003_warmdown70_warmup5pct_wd010_scalar06,Try slightly higher scalar LR (0.6) with the best known config to see if it helps,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.6}",OK,1.941825,7.3,244.0,8.0,301.2,7548.0,0.13,562.565817117691,2026-05-06T22:22:12.541405,,0.5221394842,0.0075187266641855155
64,r32_emb_lr_065_unemb_003_warmdown70_wd010_finalfrac001,Try a small non-zero final LR fraction (0.01) with the best known config to see if it helps convergence,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""FINAL_LR_FRAC"": 0.01}",OK,1.932782,7.3,253.0,8.3,300.1,7548.0,0.13,567.69251704216,2026-05-06T22:32:07.991738,,0.5222979708,0.006860880523919977
65,r33_emb_lr_065_unemb_003_warmdown70_wd010_warmup5pct_bs32k_scalar04,Try scalar_lr=0.4 with the best known config to find optimal scalar LR between 0.3 (worse) and 0.5 (best),"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.930735,7.3,244.0,8.0,300.6,7546.0,0.13,570.8295698165894,2026-05-06T22:42:04.825156,,0.5175934256,0.004381427009701788
66,r34_deeper_depth6_bs8_best_combo,"Try depth=6 with proper settings (bs=8, best LR combo) and 32k batch to see if deeper model can outperform 4-layer baseline","{""DEPTH"": 6, ""DEVICE_BATCH_SIZE"": 8, ""ASPECT_RATIO"": 42, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.946758,10.0,206.0,6.8,301.4,5396.0,0.16,600.0361020565033,2026-05-06T22:52:32.833741,,0.5255193344,0.010142336114346895
67,r35_wider_depth4_ar80_best_combo,"Try wider model with ASPECT_RATIO=80 (model_dim=320) keeping depth=4, to see if more capacity helps","{""ASPECT_RATIO"": 80, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.949956,13.4,167.0,5.5,300.4,13339.0,0.16,687.7043099403381,2026-05-06T23:04:26.968035,,0.5242501258,0.008467923688888601
68,r36_sssl_window_depth4_best_combo,Test SSSL sliding window pattern with depth 4 and best optimizer settings to see if local context helps,"{""WINDOW_PATTERN"": ""SSSL"", ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.933498,7.3,249.0,8.2,301.0,7290.0,0.11,577.1331479549408,2026-05-06T23:14:28.523130,,0.5229520578,0.007778311249017622
69,r37_warmdown80_best_combo,"Try warmdown ratio of 0.8 to give even more time for LR cooldown, keeping other best settings","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.8, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003}",OK,1.934137,7.3,245.0,8.0,300.2,7548.0,0.13,562.718542098999,2026-05-06T23:24:13.795033,,0.5201131062,0.0067837512814997725
70,r38_emb_lr_065_unemb_003_warmdown70_wd010_matrixlr_021,Try matrix_lr=0.021 with the best combo settings to see if there's a sweet spot slightly above 0.020,"{""MATRIX_LR"": 0.021, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.931937,7.3,246.0,8.1,300.2,7548.0,0.13,565.4920909404755,2026-05-06T23:34:03.692227,,0.5201174562,0.003610551830530162
71,r39_emb_lr_068_unemb_0032_warmdown70_wd010_matrixlr_019,"Fine-tune around best config: slightly higher embedding LR, slightly higher unembedding LR, slightly lower matrix LR","{""MATRIX_LR"": 0.019, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.68, ""UNEMBEDDING_LR"": 0.0032, ""SCALAR_LR"": 0.4}",OK,1.934541,7.3,245.0,8.0,300.2,7548.0,0.13,570.6848838329315,2026-05-06T23:43:58.747007,,0.5236084018,0.00512634411334989
